,time,lat,long,download_speed,upload_speed,latency,connection_type,isp,day,date,day_type,session,temperature,climate,env_type,location,floor,mobility,movement_speed,gsm_asu,gsm_rssi,lte_rsrp,lte_rsrq,lte_rssnr,lte_cqi,lte_band,nr_rsrp,contributor
531,11:55,13.0131944,80.2352373,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.79,0.0,-110.0,-111,-15,0,0,40,-140.0,Hariharan
532,11:55,13.0131806,80.235227,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.79,0.0,-110.0,-111,-15,0,0,40,-140.0,Hariharan
533,11:55,13.0131848,80.2352235,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.85,0.0,-110.0,-111,-15,0,0,40,-140.0,Hariharan
534,11:55,13.0130109,80.2354775,0.0,0.0,0,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,No movement,0.0,0.0,-110.0,-109,-19,0,2147483647,3,-97.0,Yuvaraj 
535,11:55,13.0130245,80.2354362,0.0,0.0,0,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Moving in Vehicle,5.98,0.0,-110.0,-109,-19,0,2147483647,3,-97.0,Yuvaraj 
536,11:55,13.0130245,80.2354362,0.0,0.0,0,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Moving in Vehicle,5.98,0.0,-110.0,-111,-20,0,2147483647,3,-97.0,Yuvaraj 
537,11:55,13.0128452,80.2355777,0.0,0.0,0,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Moving in Vehicle,5.98,0.0,-110.0,-105,-17,0,2147483647,3,-97.0,Yuvaraj 
538,11:56,13.012845,80.2357633,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,No movement,0.0,0.0,-110.0,-107,-17,0,2147483647,3,-97.0,Yuvaraj 
539,11:56,13.012845,80.2357633,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,No movement,0.0,0.0,-110.0,-109,-18,0,2147483647,3,-97.0,Yuvaraj 
540,11:56,13.012845,80.2357633,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,No movement,0.0,0.0,-110.0,-96,-11,0,2147483647,3,-97.0,Yuvaraj 
541,11:56,13.0128447,80.2357616,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Slow Walking,0.52,0.0,-110.0,-96,-11,0,2147483647,3,-97.0,Yuvaraj 
542,11:56,13.0128425,80.2357633,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Slow Walking,0.52,0.0,-110.0,-107,-19,0,2147483647,3,-97.0,Yuvaraj 
543,11:56,13.0128377,80.2357596,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Slow Walking,0.52,0.0,-110.0,-105,-17,0,2147483647,3,-97.0,Yuvaraj 
544,11:56,13.0128298,80.235754,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Slow Walking,0.67,0.0,-110.0,-106,-18,0,2147483647,3,-97.0,Yuvaraj 
545,11:56,13.0128218,80.2357737,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Walking,0.77,0.0,-110.0,-103,-16,0,2147483647,3,-104.0,Yuvaraj 
546,11:56,13.0128122,80.235759,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Walking,0.77,0.0,-110.0,-103,-16,0,2147483647,3,-104.0,Yuvaraj 
547,11:56,13.0128046,80.2357571,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Walking,0.77,0.0,-110.0,-105,-17,0,2147483647,3,-104.0,Yuvaraj 
548,11:56,13.0127907,80.2357441,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Walking,0.77,0.0,-110.0,-103,-17,0,2147483647,3,-104.0,Yuvaraj 
549,11:56,13.0127909,80.2357395,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Walking,0.77,0.0,-110.0,-96,-13,0,2147483647,3,-104.0,Yuvaraj 
550,11:56,13.0127941,80.2357356,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Slow Walking,0.45,0.0,-110.0,-96,-13,0,2147483647,3,-104.0,Yuvaraj 
551,11:56,13.0128035,80.2357353,326.5459899902344,4.9629998207092285,9,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,IT Department ,0,Slow Walking,0.45,0.0,-110.0,-98,-15,0,2147483647,3,-104.0,Yuvaraj 
552,11:56,13.0133798,80.2358284,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.89,0.0,-110.0,-106,-14,0,2147483647,3,-110.0,Yazhiniyan
553,11:56,13.0133765,80.2358221,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.89,0.0,-110.0,-103,-13,0,2147483647,3,-110.0,Yazhiniyan
554,11:56,13.0133645,80.2358042,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.97,0.0,-110.0,-102,-12,0,2147483647,3,-110.0,Yazhiniyan
555,11:56,13.0133544,80.2358119,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.97,0.0,-110.0,-102,-12,0,2147483647,3,-110.0,Yazhiniyan
556,11:56,13.0133637,80.2358315,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.99,0.0,-110.0,-103,-12,0,2147483647,3,-110.0,Yazhiniyan
557,11:56,13.0133706,80.2358539,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.99,0.0,-110.0,-102,-12,0,2147483647,3,-110.0,Yazhiniyan
558,11:56,13.0133694,80.2358695,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.99,0.0,-110.0,-104,-12,0,2147483647,3,-110.0,Yazhiniyan
559,11:56,13.0133815,80.2359105,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,1.1,0.0,-110.0,-109,-18,0,2147483647,3,-121.0,Yazhiniyan
560,11:56,13.0133922,80.2359282,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,1.02,0.0,-110.0,-109,-18,0,2147483647,3,-121.0,Yazhiniyan
561,11:56,13.0134167,80.2359641,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.95,0.0,-110.0,-110,-19,0,2147483647,3,-117.0,Yazhiniyan
562,11:56,13.013418,80.2359785,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Walking,0.95,0.0,-110.0,-110,-19,0,2147483647,3,-117.0,Yazhiniyan
563,11:56,13.0134225,80.2359946,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.55,0.0,-110.0,-110,-20,0,2147483647,3,-106.0,Yazhiniyan
564,11:56,13.0134253,80.2360129,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.51,0.0,-110.0,-110,-20,0,2147483647,3,-115.0,Yazhiniyan
565,11:56,13.013426,80.2360177,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.51,0.0,-110.0,-110,-20,0,2147483647,3,-115.0,Yazhiniyan
566,11:56,13.0134274,80.2360315,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.51,0.0,-110.0,-108,-19,0,2147483647,3,-115.0,Yazhiniyan
567,11:57,13.0134275,80.2360332,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.51,0.0,-110.0,-107,-20,0,2147483647,3,-115.0,Yazhiniyan
568,11:57,13.0134261,80.2360423,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.31,0.0,-110.0,-108,-19,0,2147483647,3,-113.0,Yazhiniyan
569,11:57,13.0134157,80.2360489,87.90599822998047,2.7330000400543213,13,4G,Airtel,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,blue shed ,0,Slow Walking,0.27,0.0,-110.0,-106,-19,0,2147483647,3,-113.0,Yazhiniyan
570,11:56,13.0131968,80.2352134,0.221000000834465,0.0260000005364418,39,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,No movement,0.12,0.0,-110.0,-113,-16,0,0,40,-140.0,Hariharan
